"GeneID","ensembl_clean","Module","MM","GS_Tumor","gene_name","gene_type"
"ENSG00000164761.9","ENSG00000164761","grey",0.258419342089165,0.195034829161515,"TNFRSF11B","protein_coding"
"ENSG00000282890.1","ENSG00000282890","yellow",0.175192273858456,0.189326607733758,"AC009975.1","lncRNA"
"ENSG00000111716.14","ENSG00000111716","pink",0.156186265380264,0.219126734642652,"LDHB","protein_coding"
"ENSG00000276085.1","ENSG00000276085","blue",0.103566320220764,0.138337744221175,"CCL3L3","protein_coding"
"ENSG00000164379.7","ENSG00000164379","royalblue",0.80350179669336,0.688103585489935,"FOXQ1","protein_coding"
"ENSG00000254166.3","ENSG00000254166","yellow",0.554901403454868,0.655007278418936,"CASC19","lncRNA"
"ENSG00000157657.14","ENSG00000157657","midnightblue",-0.0331101720228362,0.04340364335405,"ZNF618","protein_coding"
"ENSG00000178248.11","ENSG00000178248","grey",-0.0829673780628399,-0.108618868996256,"FAM230I","lncRNA"
"ENSG00000187608.10","ENSG00000187608","darkgreen",0.204849608820638,0.0223871284178654,"ISG15","protein_coding"
"ENSG00000133083.15","ENSG00000133083","turquoise",-0.585588696817846,-0.540334449748796,"DCLK1","protein_coding"
"ENSG00000141933.9","ENSG00000141933","pink",0.293413266443617,0.143613632926826,"TPGS1","protein_coding"
"ENSG00000271178.1","ENSG00000271178","purple",-0.592924770420201,-0.608745310332667,"IGHV3OR16-13","IG_V_gene"
"ENSG00000135480.16","ENSG00000135480","lightcyan",0.361558025469672,0.321063153930265,"KRT7","protein_coding"
"ENSG00000168542.16","ENSG00000168542","magenta",0.110674208329352,0.142499708868505,"COL3A1","protein_coding"
"ENSG00000159212.13","ENSG00000159212","turquoise",-0.263455183019448,-0.251332354046139,"CLIC6","protein_coding"
"ENSG00000148735.15","ENSG00000148735","lightgreen",0.364017656737457,0.36954918518966,"PLEKHS1","protein_coding"
"ENSG00000188404.10","ENSG00000188404","blue",-0.362484959381897,-0.230649720460569,"SELL","protein_coding"
"ENSG00000111962.8","ENSG00000111962","turquoise",-0.411271560448836,-0.322826547928544,"UST","protein_coding"
"ENSG00000103528.17","ENSG00000103528","midnightblue",-0.138968671240661,-0.119307107818005,"SYT17","protein_coding"
"ENSG00000108823.16","ENSG00000108823","turquoise",-0.336455291531594,-0.500356811719471,"SGCA","protein_coding"
"ENSG00000181631.7","ENSG00000181631","blue",-0.48998510950285,-0.333925726068989,"P2RY13","protein_coding"
"ENSG00000268903.1","ENSG00000268903","grey",0.184394214736716,0.0743387298325038,"AL627309.6","processed_pseudogene"
"ENSG00000171860.5","ENSG00000171860","blue",-0.332905353447925,-0.214109926959806,"C3AR1","protein_coding"
"ENSG00000218014.1","ENSG00000218014","pink",0.230424246508942,0.079249064064144,"KRT19P1","processed_pseudogene"
"ENSG00000183287.14","ENSG00000183287","turquoise",-0.5466445354813,-0.549547967242815,"CCBE1","protein_coding"
"ENSG00000137872.17","ENSG00000137872","green",-0.627179025843158,-0.605999077206698,"SEMA6D","protein_coding"
"ENSG00000182985.18","ENSG00000182985","turquoise",-0.344967735874468,-0.267831886676893,"CADM1","protein_coding"
