"GeneID","ensembl_clean","Module","MM","GS_Tumor","gene_name","gene_type"
"ENSG00000164379.7","ENSG00000164379","royalblue",0.80350179669336,0.688103585489935,"FOXQ1","protein_coding"
"ENSG00000167767.14","ENSG00000167767","royalblue",0.852756362053274,0.794252823833192,"KRT80","protein_coding"
"ENSG00000175832.13","ENSG00000175832","royalblue",0.845251413050549,0.785952175637093,"ETV4","protein_coding"
"ENSG00000062038.14","ENSG00000062038","royalblue",0.825301405922953,0.84375812855334,"CDH3","protein_coding"
