"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030216","keratinocyte differentiation","3/4","147/18842",0.0204081632653061,96.1326530612245,16.8729148692016,1.85050155490417e-06,0.0108809491428365,0.0108809491428365,"ETV4/KRT80/CDH3",3
"GO:0009913","epidermal cell differentiation","3/4","191/18842",0.0157068062827225,73.9869109947644,14.7732205086596,4.07131050252852e-06,0.0119696528774339,0.0119696528774339,"ETV4/KRT80/CDH3",3
"GO:0043588","skin development","3/4","236/18842",0.0127118644067797,59.8792372881356,13.2634420102948,7.68947277086504e-06,0.0150713666308955,0.0150713666308955,"ETV4/KRT80/CDH3",3
"GO:0008544","epidermis development","3/4","287/18842",0.0104529616724739,49.2386759581882,11.9997009268235,1.38325639345357e-05,0.0203338689837675,0.0203338689837675,"ETV4/KRT80/CDH3",3
