"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID","ensembl_clean","gene_name","gene_type","DEG_strict","DEG_loose","DEG_Group"
9.87207958585471,2.3769194933123,0.232826937394487,10.2089539978143,1.80803378353223e-24,1.83572932482908e-23,"ENSG00000002079.14","ENSG00000002079","MYH16","transcribed_unitary_pseudogene",TRUE,TRUE,"Up"
8865.69670607842,-1.93163977868533,0.169320340894921,-11.4081968443714,3.80535910754764e-30,5.58754356066945e-29,"ENSG00000002726.21","ENSG00000002726","AOC1","protein_coding",TRUE,TRUE,"Down"
40.3435804212422,1.59846335801032,0.234727359377367,6.80987236532789,9.76853730319073e-12,3.64170574010275e-11,"ENSG00000002746.15","ENSG00000002746","HECW1","protein_coding",TRUE,TRUE,"Up"
797.512612062406,2.41470551457401,0.158405761266922,15.243798554177,1.81032332294209e-52,1.06459715412314e-50,"ENSG00000003249.15","ENSG00000003249","DBNDD1","protein_coding",TRUE,TRUE,"Up"
184.793028466477,-2.96627876250452,0.311520037755986,-9.52195173020622,1.69956584610666e-21,1.38901473399675e-20,"ENSG00000004776.13","ENSG00000004776","HSPB6","protein_coding",TRUE,TRUE,"Down"
1025.34448879657,-3.33644394905715,0.196701113804337,-16.9619982547531,1.56916043828238e-64,1.77868504946173e-62,"ENSG00000004799.8","ENSG00000004799","PDK4","protein_coding",TRUE,TRUE,"Down"
8.83415193869794,-3.07914369204534,0.433570424702763,-7.10183055995174,1.23115119856627e-12,4.97978481695551e-12,"ENSG00000004846.16","ENSG00000004846","ABCB5","protein_coding",TRUE,TRUE,"Down"
806.910272426704,4.04423580684726,0.187799231750225,21.5348900480388,7.33684781725762e-103,3.375525434983e-100,"ENSG00000005001.10","ENSG00000005001","PRSS22","protein_coding",TRUE,TRUE,"Up"
284.296587767811,-1.83379214614152,0.206586130447921,-8.87664695672204,6.89060749444503e-19,4.6168250785168e-18,"ENSG00000005249.13","ENSG00000005249","PRKAR2B","protein_coding",TRUE,TRUE,"Down"
19.7056295962767,2.00358280761752,0.367587208989773,5.45063255362966,5.01909766428166e-08,1.32279127928457e-07,"ENSG00000005981.13","ENSG00000005981","ASB4","protein_coding",TRUE,TRUE,"Up"
16.4025063510436,-1.96855368845333,0.291502389789102,-6.75313053137419,1.44688655706693e-11,5.30050681889437e-11,"ENSG00000006071.15","ENSG00000006071","ABCC8","protein_coding",TRUE,TRUE,"Down"
1367.61687389719,2.59730894450098,0.151963507574118,17.0916622415693,1.71222803213817e-65,2.02907669424698e-63,"ENSG00000006118.15","ENSG00000006118","TMEM132A","protein_coding",TRUE,TRUE,"Up"
1895.27476125603,2.3921832730614,0.138532764109103,17.2679964082534,8.19381053142862e-67,1.04488896907305e-64,"ENSG00000006327.14","ENSG00000006327","TNFRSF12A","protein_coding",TRUE,TRUE,"Up"
29.4228594946215,3.79861033376515,0.438500089215541,8.66273560071723,4.60575797638608e-18,2.89886011689707e-17,"ENSG00000006377.11","ENSG00000006377","DLX6","protein_coding",TRUE,TRUE,"Up"
1212.92600186723,-1.7636595920181,0.119518562244975,-14.7563655292569,2.79966842266569e-49,1.38589493395417e-47,"ENSG00000006555.11","ENSG00000006555","TTC22","protein_coding",TRUE,TRUE,"Down"
30.01193101972,2.18575732947282,0.273119147004692,8.00294433196687,1.2147886843748e-15,6.39098692604714e-15,"ENSG00000006606.9","ENSG00000006606","CCL26","protein_coding",TRUE,TRUE,"Up"
2368.44148662511,2.11552654694659,0.104871158662473,20.1726249040062,1.70352612896058e-90,5.62979395632831e-88,"ENSG00000006704.11","ENSG00000006704","GTF2IRD1","protein_coding",TRUE,TRUE,"Up"
624.66066143386,-2.26036232078119,0.170173531463518,-13.282690329934,2.91721571459246e-40,8.42974747871891e-39,"ENSG00000006740.17","ENSG00000006740","ARHGAP44","protein_coding",TRUE,TRUE,"Down"
715.685582492684,-2.75555572990708,0.219432906678672,-12.5576230639928,3.61015863103823e-36,7.80725918144525e-35,"ENSG00000006747.15","ENSG00000006747","SCIN","protein_coding",TRUE,TRUE,"Down"
394.361781955233,-2.25676843139862,0.361289556439736,-6.24642586859567,4.1995119061921e-10,1.35242035913933e-09,"ENSG00000007216.15","ENSG00000007216","SLC13A2","protein_coding",TRUE,TRUE,"Down"
694.519033152777,-1.56362134956291,0.175415477660514,-8.91381633147006,4.9305472125748e-19,3.34553905151846e-18,"ENSG00000007237.19","ENSG00000007237","GAS7","protein_coding",TRUE,TRUE,"Down"
13666.003659826,-4.40575065050643,0.315648507831729,-13.9577743635497,2.82106590349785e-44,1.0457107481781e-42,"ENSG00000007306.15","ENSG00000007306","CEACAM7","protein_coding",TRUE,TRUE,"Down"
63.3936657475599,-1.99433569320942,0.222325227412253,-8.9703526514846,2.95566592674533e-19,2.03736032036288e-18,"ENSG00000007312.13","ENSG00000007312","CD79B","protein_coding",TRUE,TRUE,"Down"
10.5003064878384,-1.85658658895845,0.280348356128807,-6.62242723515537,3.53348012678689e-11,1.249014427462e-10,"ENSG00000007314.12","ENSG00000007314","SCN4A","protein_coding",TRUE,TRUE,"Down"
755.402853270661,2.66662266761317,0.175003893311868,15.237504818599,1.99338772982723e-52,1.16640522924355e-50,"ENSG00000008300.17","ENSG00000008300","CELSR3","protein_coding",TRUE,TRUE,"Up"
1387.99257135916,3.13444733508333,0.20173771422007,15.5372402587255,1.94166556978147e-54,1.26905963591511e-52,"ENSG00000009950.16","ENSG00000009950","MLXIPL","protein_coding",TRUE,TRUE,"Up"
