"GeneID","ensembl_clean","Module","MM","GS_Tumor","gene_name","gene_type","log2FoldChange","padj","DEG_Group"
"ENSG00000062038.14","ENSG00000062038","royalblue",0.825301405922953,0.84375812855334,"CDH3","protein_coding",5.9609518698628,0,"Up"
"ENSG00000167767.14","ENSG00000167767","royalblue",0.852756362053274,0.794252823833192,"KRT80","protein_coding",6.75663879973157,2.05234366958418e-287,"Up"
"ENSG00000175832.13","ENSG00000175832","royalblue",0.845251413050549,0.785952175637093,"ETV4","protein_coding",5.29164326730329,6.10563063427922e-260,"Up"
"ENSG00000164379.7","ENSG00000164379","royalblue",0.80350179669336,0.688103585489935,"FOXQ1","protein_coding",6.20961071566393,4.60008648694984e-205,"Up"
